model,n,mean_model_price,mean_market_price,bias,mae,rmse,mape,median_abs_error
eqp_garch_1_2_vol_price,57172,0.14003207061164807,0.1467073305114392,-0.00667525989979109,0.012682064760316964,0.02063103468499717,0.2705716015141868,0.0067329378507459
crr_garch_1_2_vol_price,57172,0.1400300392800632,0.1467073305114392,-0.006677291231375978,0.012684029598147592,0.020633362745567516,0.2705873354460793,0.006725123243704412
eqp_garch_2_1_vol_price,57172,0.14007977578210926,0.1467073305114392,-0.006627554729329922,0.01268760672420378,0.020685246788267168,0.27066244132046063,0.006708879199207509
crr_garch_2_1_vol_price,57172,0.14007770869907238,0.1467073305114392,-0.006629621812366803,0.012689608339463093,0.02068768931162537,0.27067224120375843,0.0067137106481568
eqp_garch_1_1_vol_price,57172,0.14006505536860867,0.1467073305114392,-0.006642275142830496,0.012702380037714745,0.02069621627077341,0.2708979591401448,0.0067240519828109
crr_garch_1_1_vol_price,57172,0.1400630236978342,0.1467073305114392,-0.006644306813604974,0.012704356313740858,0.02069867003922197,0.2709066629594709,0.006725597211327185
eqp_garch_2_2_vol_price,57172,0.1401189460002622,0.1467073305114392,-0.006588384511176958,0.012720674250297007,0.02072753248563201,0.27133558326175883,0.006729076729827976
crr_garch_2_2_vol_price,57172,0.1401169157940515,0.1467073305114392,-0.006590414717387645,0.012722503178583257,0.0207298152768001,0.2713440296965011,0.00673627427632742
eqp_hist_vol_30d_price,54704,0.14032076244142896,0.14571864580286634,-0.005397883361437359,0.01570829357414966,0.025182306757198063,0.331972930321136,0.00871271965974278
crr_hist_vol_30d_price,54704,0.1403201847257659,0.14571864580286634,-0.005398461077100411,0.01571125069095212,0.025186012844049876,0.3319844754994552,0.008699262380747419
eqp_hist_vol_5d_price,56728,0.138408773156006,0.14656726836835424,-0.008158495212348245,0.022569276725226236,0.03876214638784889,0.4624269460351135,0.011917860264456334
crr_hist_vol_5d_price,56728,0.138408880430061,0.14656726836835424,-0.008158387938293241,0.022574769745627825,0.038777160830913024,0.46253409485438857,0.011919303600284634
