maturity_group,n,bias,mae,rmse,mape
short_0_30d,14338,-0.0012404630484401527,0.003986861894459957,0.008716552920678501,0.38679198553924277
middle_31_90d,18448,-0.0031223561642172836,0.012613508648806608,0.01895322133438732,0.34604850427038314
long_90d_plus,21918,-0.010034238026082925,0.02598825734108467,0.03508773235134506,0.28429384306417116
