call_put,n,bias,mae,rmse,mape
C,27346,-0.00045969817052343557,0.014806523236679883,0.02388098869288505,0.31064940525124846
P,27358,-0.010335057701241575,0.016615581305928686,0.02642613815971797,0.353310187576634
