moneyness_group,n,bias,mae,rmse,mape
ATM,12122,-0.007116072939041396,0.018988111447940603,0.027683458443711683,0.22485989215698363
ITM,21294,-0.00487208160682599,0.017643938936439892,0.028279546417507104,0.06613709488147218
OTM,21288,-0.0049469312692074635,0.011912078876050261,0.019841988997105126,0.658906606378672
