maturity_bucket,n,mae,rmse,mape,smape,mean_error
1-7d,4354.0,0.028899338195711805,0.08167231864848418,0.6751364485528852,1.3054374084318259,-0.028639214066762283
8-30d,14821.0,0.029239814878983448,0.07695136938683496,0.562556798925676,1.0516271802332704,-0.028661218692284197
31-90d,26015.0,0.03346565334822669,0.07838122174383914,0.46925761259288556,0.8450900911721533,-0.03209251171986861
90d+,31953.0,0.050882409916386324,0.09547072498911179,0.4528046468696074,0.7999412515493988,-0.04817249662333494
