trade_date,close,log_return,garch_h1_variance_pct2,model_vol,model_name
2022-01-05,3.241,-0.0018495689612985301,1.246527875377664,0.17723572568620902,garch_2_1
2022-01-06,3.193,-0.014921010426765354,1.2998353255634065,0.18098577348564676,garch_2_1
2022-01-07,3.207,0.004375006978372834,1.216751209980599,0.1751060549824337,garch_2_1
2022-01-10,3.216,0.0028024306057021155,1.1358817991622923,0.1691869419869328,garch_2_1
2022-01-11,3.196,-0.0062383234126917025,1.0839082331534147,0.1652709516989179,garch_2_1
2022-01-12,3.22,0.007481331652288766,1.0495953071244912,0.16263395014429546,garch_2_1
2022-01-13,3.166,-0.01691239809749664,1.166360690289959,0.17144179594050854,garch_2_1
2022-01-14,3.12,-0.01463595963742938,1.2234839414360765,0.17558984971856753,garch_2_1
2022-01-17,3.131,0.003519440522877645,1.1447970903625007,0.16984960016772196,garch_2_1
2022-01-18,3.169,0.01206363836451523,1.161442753091754,0.1710799736319602,garch_2_1
2022-01-19,3.169,0.0,1.0817416602989214,0.16510569293495855,garch_2_1
2022-01-20,3.214,0.014100186606537201,1.1401063097335913,0.16950126549759592,garch_2_1
2022-01-21,3.206,-0.002492213127959607,1.0667442339057627,0.16395717335458432,garch_2_1
2022-01-24,3.195,-0.0034369663578631003,1.0053972333950965,0.15917289430539494,garch_2_1
2022-01-25,3.129,-0.02087362314275294,1.2235644811212083,0.1755956290009932,garch_2_1
2022-01-26,3.144,0.004782409880215098,1.1516911168247006,0.1703602540030463,garch_2_1
2022-01-27,3.107,-0.011838244156049777,1.1628868660579257,0.17118629917332673,garch_2_1
2022-01-28,3.036,-0.023116770877526872,1.4264258174293456,0.18959412068737655,garch_2_1
2022-02-07,3.095,0.019247046603176075,1.5560054048279819,0.19801852489518534,garch_2_1
2022-02-08,3.098,0.0009688358581173689,1.431510249288444,0.18993172005241457,garch_2_1
2022-02-09,3.12,0.007076259826714094,1.353337138952032,0.18467294306852644,garch_2_1
2022-02-10,3.128,0.0025608208616736505,1.2558878167454146,0.17789989595832945,garch_2_1
2022-02-11,3.123,-0.0015997443821231378,1.1668791189178935,0.17147989327245022,garch_2_1
2022-02-14,3.088,-0.011270446138411785,1.167893610809737,0.17155441991509685,garch_2_1
2022-02-15,3.1,0.0038784793285708383,1.097340190667505,0.16629183024075816,garch_2_1
2022-02-16,3.116,0.005148016517401237,1.0423647740350421,0.16207279940101937,garch_2_1
2022-02-17,3.119,0.0009623096171645182,0.9770241959364101,0.15691083371646947,garch_2_1
2022-02-18,3.144,0.007983436941293892,0.960053924462352,0.1555421450811685,garch_2_1
2022-02-21,3.13,-0.004462870014898317,0.9161705966843108,0.15194571081950498,garch_2_1
2022-02-22,3.081,-0.015778784937530994,1.0244661640964965,0.16067528539022954,garch_2_1
2022-02-23,3.1,0.006147891876569838,0.9852163412815291,0.15756729292684613,garch_2_1
2022-02-24,3.043,-0.018558240576266465,1.146956186971193,0.1700096935814957,garch_2_1
2022-02-25,3.056,0.0042630003894399285,1.0808519016413527,0.16503777725527596,garch_2_1
