moneyness_bucket,n,mae,rmse,mape,smape,mean_error
S/K<=0.90,6851.0,0.011233877067987688,0.01990757731578589,0.43438788188242944,0.7554417926604928,-0.010842571333192465
0.90-0.97,12974.0,0.012478484356154082,0.021027242308989946,0.22190449394246278,0.30021746288480605,-0.010316955715175019
0.97-1.03,12521.0,0.012636568846342889,0.01914287497782396,0.14153906278461856,0.15216499117182897,-0.008196267308149777
1.03-1.10,12863.0,0.010625375645900308,0.01592710545239208,0.22023315461613277,0.30013080533017783,-0.007622657106246592
S/K>1.10,7840.0,0.007218726411969519,0.011096704657654033,0.43438697605105636,0.7404348380372398,-0.00632374265371197
