maturity_bucket,n,mae,rmse,mape,smape,mean_error
1-7d,4354.0,0.0288993392440496,0.08167231823892568,0.6751373602339655,1.305440202251781,-0.028639243459648796
8-30d,14821.0,0.029239853533565247,0.07695137380257187,0.5625595850259298,1.0516336813136498,-0.028661328538003693
31-90d,26015.0,0.033465824614009675,0.07838125124076972,0.4692624630493072,0.8450996925664085,-0.03209288797312082
90d+,31953.0,0.05088307014855235,0.09547089894969257,0.4528121002172789,0.7999528681402098,-0.048173474370847416
