trade_date,n,mae,rmse,mape,smape,mean_error
2022-01-05,138.0,0.009806975523781054,0.012210599562204015,0.21540898129461183,0.29522637030263055,-0.009183460689707873
2022-01-07,136.0,0.008581640873651755,0.011427459097547003,0.20682591434514108,0.2895058356530098,-0.007741439675416811
2022-01-10,136.0,0.009741223135059785,0.012721353942946741,0.2365549153783876,0.3421037318132478,-0.008958312832669743
2022-01-13,131.0,0.010916081569947746,0.014911783482650215,0.271566235072818,0.40209201586067195,-0.010012814783566132
2022-01-14,130.0,0.010094214634587699,0.013829855925862094,0.27749495178853795,0.4188812308745972,-0.009577481034903464
2022-01-19,142.0,0.008052294183183517,0.011144508209715649,0.27364775276087233,0.429566214709156,-0.007685118435510828
2022-01-20,140.0,0.008211653993616995,0.01135057413132323,0.2764131215525616,0.43028281966948045,-0.007402275700301591
2022-01-24,146.0,0.009430242173655925,0.012538831720199114,0.32883019301717076,0.5343997891787401,-0.009424071020423948
2022-01-25,140.0,0.01177335188734776,0.01583817002046848,0.3645840339053913,0.5937739113607368,-0.01173242700565682
2022-01-27,127.0,0.015352198693931682,0.019078432098667282,0.2598707269844229,0.36411199706899466,-0.015307132939237635
2022-01-28,129.0,0.01853595785969097,0.020777815626554674,0.28426363184040937,0.40794080873428906,-0.018495928120926597
2022-02-08,130.0,0.008572697095958589,0.011866629119331363,0.18875297004773853,0.2729480700461818,-0.007788982413100816
2022-02-09,136.0,0.0066892714426381415,0.00969356102703048,0.17417333385312883,0.2529115164132268,-0.005768666781423902
2022-02-11,128.0,0.0062235751844349745,0.008842619809718585,0.19590190595986262,0.2941284947944068,-0.005374141354751165
2022-02-14,134.0,0.006712787638413987,0.009276199012841694,0.21233352464741595,0.3288142625718197,-0.006478986834454439
2022-02-17,129.0,0.005936047877684722,0.008052241359853241,0.23916669363458906,0.3845404943379511,-0.0054771551333860375
2022-02-18,128.0,0.00564245597936224,0.00812882994518115,0.2390266339406804,0.38924199775521306,-0.005047924027766958
2022-02-23,112.0,0.004595266051642678,0.006031025652863476,0.17507870342151305,0.26748878732047837,-0.0038130468552561646
2022-02-24,130.0,0.005740524158864162,0.007579514536164647,0.17475293110605442,0.2620845293102326,-0.005377141845232337
