moneyness_bucket,n,mae,rmse,mape,smape,mean_error
S/K<=0.90,6851.0,0.011234200858788807,0.01990796276104117,0.4343978981215533,0.7554618251168841,-0.010842968361467125
0.90-0.97,12974.0,0.01247907060203996,0.02102797993282974,0.22191132416071133,0.3002292209903372,-0.01031787195902908
0.97-1.03,12521.0,0.01263718312117579,0.019143636930660544,0.14154356144349475,0.15217153788900428,-0.00819740706644281
1.03-1.10,12871.0,0.010626453195626342,0.015926488870229627,0.22024219815141477,0.30013126620929,-0.007621438941907549
S/K>1.10,31926.0,0.07898889742104052,0.13143993148348004,0.861105992158922,1.6906953485829948,-0.07876914746402343
