trade_date,close,log_return,garch_h1_variance_pct2,model_vol,model_name
2022-01-05,3.241,-0.0018495689612985301,1.2465302033677443,0.1772358911870481,garch_1_1
2022-01-06,3.193,-0.014921010426765354,1.2998328479115344,0.18098560099458375,garch_1_1
2022-01-07,3.207,0.004375006978372834,1.2167502336335454,0.17510598472800792,garch_1_1
2022-01-10,3.216,0.0028024306057021155,1.1358825247851865,0.16918699602684215,garch_1_1
2022-01-11,3.196,-0.0062383234126917025,1.083909933053013,0.1652710812965654,garch_1_1
2022-01-12,3.22,0.007481331652288766,1.0495961096701414,0.16263401232118563,garch_1_1
2022-01-13,3.166,-0.01691239809749664,1.1663544407559596,0.1714413366345765,garch_1_1
2022-01-14,3.12,-0.01463595963742938,1.2234740076444515,0.17558913688676808,garch_1_1
2022-01-17,3.131,0.003519440522877645,1.144789686777112,0.16984905094460556,garch_1_1
2022-01-18,3.169,0.01206363836451523,1.1614320991384064,0.17107918896899132,garch_1_1
2022-01-19,3.169,0.0,1.081734220305428,0.1651051251527244,garch_1_1
2022-01-20,3.214,0.014100186606537201,1.140093478987787,0.16950031171207985,garch_1_1
2022-01-21,3.206,-0.002492213127959607,1.0667348057380808,0.16395644880455187,garch_1_1
2022-01-24,3.195,-0.0034369663578631003,1.0053905633351552,0.15917236630786738,garch_1_1
2022-01-25,3.129,-0.02087362314275294,1.2235465826632765,0.17559434467862162,garch_1_1
2022-01-26,3.144,0.004782409880215098,1.1516761987967414,0.17035915064849871,garch_1_1
2022-01-27,3.107,-0.011838244156049777,1.162871625334368,0.1711851773911108,garch_1_1
2022-01-28,3.036,-0.023116770877526872,1.4263973141728428,0.18959222641541937,garch_1_1
2022-02-07,3.095,0.019247046603176075,1.5559681018714469,0.19801615127852693,garch_1_1
2022-02-08,3.098,0.0009688358581173689,1.4314798148767662,0.1899297010340787,garch_1_1
2022-02-09,3.12,0.007076259826714094,1.353310358536861,0.18467111586582483,garch_1_1
2022-02-10,3.128,0.0025608208616736505,1.2558660149573049,0.17789835181058897,garch_1_1
