call_put,n,mae,rmse,mape,smape,mean_error
C,26020.0,0.009316292321237358,0.013691730667714012,0.25195636277818273,0.3749336247637035,-0.005366410159635939
P,51123.0,0.0550292790697166,0.10494080976462887,0.614164018760834,1.1552635606830886,-0.054457569609055845
