moneyness_bucket,n,mae,rmse,mape,smape,mean_error
S/K<=0.90,6792.0,0.017103422822852498,0.03562391805325712,0.7075239755996721,0.8535635832159514,-0.004549281961200475
0.90-0.97,12875.0,0.025203681445308983,0.041472262594896316,0.4461354642128727,0.6038294945383361,-0.012673628392486376
0.97-1.03,12437.0,0.03074143650952759,0.04563936564840507,0.36212982169810504,0.4430679833191514,-0.014241427405349536
1.03-1.10,12763.0,0.02173037749712897,0.03646077621440926,0.43388379280255696,0.6134034233145715,-0.008558873086984168
S/K>1.10,31866.0,0.08044589307818427,0.13214674907304966,0.9239803041438436,1.7439267425755696,-0.07800571326871712
