trade_date,close,log_return,sample_mean_daily,sample_std_daily,sample_mean_annualized,model_vol,model_name
2022-01-04,3.247,,,,,,historical_5d
2022-01-05,3.241,-0.0018495689612985301,,,,,historical_5d
2022-01-06,3.193,-0.014921010426765354,,,,,historical_5d
2022-01-07,3.207,0.004375006978372834,,,,,historical_5d
2022-01-10,3.216,0.0028024306057021155,,,,,historical_5d
2022-01-11,3.196,-0.0062383234126917025,-0.003166293043336127,0.007775625082248531,-0.797905846920704,0.12343422153423461,historical_5d
2022-01-12,3.22,0.007481331652288766,-0.001300112920618668,0.00916605681000975,-0.32762845599590434,0.14550664093425492,historical_5d
2022-01-13,3.166,-0.01691239809749664,-0.0016983904547649253,0.009918264268226158,-0.42799439460076116,0.15744756414686664,historical_5d
2022-01-14,3.12,-0.01463595963742938,-0.005500583777925368,0.0106266061611815,-1.3861471120371927,0.16869214309867808,historical_5d
2022-01-17,3.131,0.003519440522877645,-0.0053571817944902626,0.010770526959108464,-1.3500098122115463,0.1709768149375064,historical_5d
2022-01-18,3.169,0.01206363836451523,-0.0016967894390488756,0.013226235361864555,-0.42759093864031666,0.209959977294612,historical_5d
2022-01-19,3.169,0.0,-0.0031930557695066296,0.012320514704798752,-0.8046500539156707,0.1955821075992712,historical_5d
2022-01-20,3.214,0.014100186606537201,0.003009461171300139,0.011463639543396482,0.7583842151676351,0.18197963610907877,historical_5d
2022-01-21,3.206,-0.002492213127959607,0.005438210473194094,0.007332693145162161,1.3704290392449117,0.11640289501468275,historical_5d
2022-01-24,3.195,-0.0034369663578631003,0.0040469290970459445,0.00837380321847018,1.019826132455578,0.13293000506318622,historical_5d
2022-01-25,3.129,-0.02087362314275294,-0.002540523204407689,0.012452670182579612,-0.6402118475107376,0.19768001077088967,historical_5d
2022-01-26,3.144,0.004782409880215098,-0.0015840412283646694,0.01287315793290134,-0.3991783895478967,0.20435504687109152,historical_5d
2022-01-27,3.107,-0.011838244156049777,-0.0067717273808820646,0.009842078254637258,-1.7064752999822803,0.15623814867484095,historical_5d
2022-01-28,3.036,-0.023116770877526872,-0.010896638930795517,0.011739226397795677,-2.7459530105604704,0.18635444179711178,historical_5d
2022-02-07,3.095,0.019247046603176075,-0.006359836338587682,0.01803690605083852,-1.602678757324096,0.28632700698932917,historical_5d
2022-02-08,3.098,0.0009688358581173689,-0.0019913445384136213,0.016193831736776795,-0.5018188236802326,0.2570691092924195,historical_5d
2022-02-09,3.12,0.007076259826714094,-0.001532574549113822,0.016463946183701963,-0.38620878637668316,0.261357043204958,historical_5d
2022-02-10,3.128,0.0025608208616736505,0.0013472384544308633,0.015438009433085478,0.33950409051657754,0.24507080218688054,historical_5d
2022-02-11,3.123,-0.0015997443821231378,0.005650643753511609,0.008229960668620967,1.4239622258849256,0.13064657537408364,historical_5d
2022-02-14,3.088,-0.011270446138411785,-0.00045285479480596213,0.006821412069025861,-0.11411940829110245,0.10828655954962196,historical_5d
2022-02-15,3.1,0.0038784793285708383,0.00012907389928473178,0.007091768051982787,0.03252662261975241,0.11257832772779662,historical_5d
2022-02-16,3.116,0.005148016517401237,-0.0002565747625778396,0.006658743587460523,-0.06465684016961558,0.10570427745939968,historical_5d
2022-02-17,3.119,0.0009623096171645182,-0.000576277011479666,0.006526721574459313,-0.14522180689287584,0.10360849297547566,historical_5d
2022-02-18,3.144,0.007983436941293892,0.0013403592532037398,0.007487424835700978,0.33777053180734246,0.11885918445332065,historical_5d
2022-02-21,3.13,-0.004462870014898317,0.002701874477906434,0.0047334596612456275,0.6808723684324214,0.07514134262767183,historical_5d
2022-02-22,3.081,-0.015778784937530994,-0.0012295783753139325,0.00938737619396222,-0.309853750579111,0.14901997723579244,historical_5d
2022-02-23,3.1,0.006147891876569838,-0.0010296033034802126,0.009566147706665199,-0.25946003247701355,0.15185788702048186,historical_5d
2022-02-24,3.043,-0.018558240576266465,-0.004933713342166409,0.012177025081783848,-1.243295762225935,0.19330428044997613,historical_5d
2022-02-25,3.056,0.0042630003894399285,-0.0056778006525372016,0.011270295046691496,-1.4308057644393748,0.17891038737521273,historical_5d
2022-02-28,3.061,0.0016347886590012824,-0.004458268917757282,0.011754146284207461,-1.123483767274835,0.18659128765132127,historical_5d
2022-03-01,3.105,0.014272055422166722,0.0015518991541822618,0.012193237727754894,0.39107858685393,0.19356164822597843,historical_5d
2022-03-02,3.088,-0.005490083222912286,-0.0007756958657141631,0.01220735494439744,-0.1954753581599691,0.19378575209262205,historical_5d
2022-03-03,3.078,-0.0032435967458423775,0.0022872329003706545,0.007730492128493751,0.5763826908934049,0.12271775810482104,historical_5d
2022-03-04,3.046,-0.010450780943717415,-0.0006555233662608141,0.009408723365740668,-0.16519188829772516,0.14935885308211452,historical_5d
2022-03-07,2.955,-0.03033060361490848,-0.007048601821042766,0.016008621891326014,-1.776247658902777,0.25412899414387863,historical_5d
2022-03-08,2.915,-0.013628831055605787,-0.01262877911659727,0.010702114250063356,-3.1824523373825118,0.16989079684960898,historical_5d
2022-03-09,2.887,-0.009651919121657627,-0.013461146296346338,0.010156002393202955,-3.3922088666792773,0.16122153988195104,historical_5d
2022-03-10,2.913,0.008965577296499425,-0.011019311487877976,0.01397608998054033,-2.77686649494525,0.2218635503374276,historical_5d
