maturity_bucket,n,mae,rmse,mape,smape,mean_error
1-7d,2943.0,0.0026523516885522984,0.006206690254344886,0.6611593268320181,1.0364501435372986,-0.0005577351737157466
8-30d,9932.0,0.006635752386750423,0.012028060790680518,0.5483284521982813,0.7917160487277929,-0.0025140688996854632
31-90d,18006.0,0.016590761986866095,0.02718950020103316,0.49066708094446615,0.6405344544663428,-0.006824483981346569
90d+,21758.0,0.03799389383279356,0.05465594672410276,0.44686214750186626,0.5457283574491951,-0.01617585756810128
