maturity_bucket,n,mae,rmse,mape,smape,mean_error
1-7d,2943.0,0.002300829116732175,0.00544419279206174,0.6103226619334415,1.0202528673455726,-0.0007674773413635079
8-30d,9869.0,0.005129041930230311,0.009244390478474421,0.44734487606688916,0.7162523699091747,-0.0027524923813696356
31-90d,17891.0,0.014790499845463137,0.02472427537830136,0.462725198116562,0.5571936157143821,-0.004818868350947392
90d+,21675.0,0.030472955008030624,0.04325759118262997,0.3583949171244208,0.43482256089190885,-0.014054680926834904
