moneyness_bucket,n,mae,rmse,mape,smape,mean_error
S/K<=0.90,6740.0,0.014552893660452745,0.027928629665295943,0.600518117556514,0.7939240583649222,-0.005799084397129847
0.90-0.97,12812.0,0.020917600199822535,0.034392482853518966,0.38034032869781004,0.5047872392716466,-0.010657860552657699
0.97-1.03,12381.0,0.024128444085331904,0.03661006811113026,0.28367124613978756,0.32840830312903885,-0.010663500607709764
1.03-1.10,12681.0,0.018005811388859507,0.02964778651183361,0.3711926145547093,0.5192763481123956,-0.007255227342199615
S/K>1.10,31858.0,0.08017962474882018,0.13195221156822162,0.916730099625916,1.7316094627801042,-0.07802126789720788
