maturity_bucket,n,mae,rmse,mape,smape,mean_error
1-7d,4354.0,0.02890093730762764,0.08167248972317277,0.6754103098201544,1.305959551089954,-0.028643530682316933
8-30d,14821.0,0.029248946923766877,0.07695254431051243,0.5631114292430343,1.0528509064843847,-0.028683720979023452
31-90d,26015.0,0.033501257382754404,0.07838791681736744,0.4702179956291989,0.8469182486628333,-0.032164780674062
90d+,31953.0,0.051007352642036256,0.09550510314445006,0.4542000362717204,0.8021006294985118,-0.04834774521632826
