moneyness_bucket,n,mae,rmse,mape,smape,mean_error
S/K<=0.90,6851.0,0.011300097947491722,0.01998972040801903,0.4364033047425546,0.7595001100804218,-0.010920924767511287
0.90-0.97,12974.0,0.012592540196507528,0.021172233337110435,0.22322990347380056,0.30236191075448954,-0.01048280386290732
0.97-1.03,12521.0,0.012757015828530234,0.019297240462252674,0.14249707701771527,0.1534712198414639,-0.008402071735249731
1.03-1.10,12871.0,0.010721414404189382,0.01604883053442103,0.2217919988126889,0.3026043316682087,-0.007775567774543629
S/K>1.10,31926.0,0.07900106388663776,0.1314414911261023,0.8616021853829039,1.691722691315983,-0.07878697010058204
