call_put,n,mae,rmse,mape,smape,mean_error
C,26016.0,0.009389884322033335,0.013783573854183441,0.25324961278410646,0.3772539988656045,-0.0055151826533755485
P,27033.0,0.01298871970537621,0.021559485006806517,0.27211467313914856,0.405567777068845,-0.011938604149547076
