maturity_bucket,n,mae,rmse,mape,smape,mean_error
1-7d,4183.0,0.030123271009778966,0.08332972000290793,0.6890625408687516,1.3245713978891307,-0.029732816231176365
8-30d,14489.0,0.030392750889583934,0.0778910916716623,0.5982261762618919,1.0932838783293375,-0.02887132456595171
31-90d,25136.0,0.03595096222682009,0.08000922003990364,0.5275197837729468,0.9111515819899154,-0.03181151096380156
90d+,31055.0,0.051761297500235705,0.0967431248322357,0.4658811377295534,0.8200798033468829,-0.04650073227559748
