call_put,n,mae,rmse,mape,smape,mean_error
C,24800.0,0.010748196608267542,0.01590268014167258,0.2860154395580536,0.40452624705218254,-0.0027841379591355127
P,50063.0,0.05614768221623198,0.10597455214694627,0.6428807860571856,1.192883083343504,-0.05427834430516191
