moneyness_bucket,n,mae,rmse,mape,smape,mean_error
S/K<=0.90,6379.0,0.010802962274263911,0.01890702826303613,0.42892004613898455,0.7116402647220459,-0.008691491232126368
0.90-0.97,12468.0,0.013413139887352123,0.021509295137646364,0.2725635055105224,0.36372710458038765,-0.008324244912115865
0.97-1.03,12085.0,0.014517402149527635,0.020489926949152044,0.18094067094441216,0.19536147086156153,-0.0059470005074469924
1.03-1.10,12205.0,0.011666016682652795,0.017263750306434563,0.2621593857380452,0.35683746214139417,-0.004995107876546914
S/K>1.10,31726.0,0.07954053544803638,0.13187527778932168,0.8748974853778849,1.700841875400368,-0.07862065408296458
