call_put,n,mae,rmse,mape,smape,mean_error
C,23562.0,0.011855742169779573,0.01840424616977437,0.2970084570251749,0.4140839178070623,-0.0016196021432868086
P,24782.0,0.01511497612977497,0.024466786456051427,0.3361767168504171,0.4636609147911752,-0.008743112949962724
