moneyness_bucket,n,mae,rmse,mape,smape,mean_error
S/K<=0.90,6379.0,0.012376487668692019,0.021116812554475457,0.48157659574135014,0.7609955215557891,-0.00775269843279718
0.90-0.97,12468.0,0.0172142608769125,0.027186418580175984,0.32369046852114364,0.43220269723123844,-0.00922278553824868
0.97-1.03,12085.0,0.01903001106198091,0.02767911628725894,0.22434277247462972,0.24819871160049756,-0.007287415857190188
1.03-1.10,12205.0,0.01487523379921856,0.023567988200772196,0.3110283994742219,0.4297411039999197,-0.005320563916420614
S/K>1.10,31726.0,0.08002046828606658,0.1319959999979927,0.8930029808521637,1.7184813312982203,-0.0783342989245856
