maturity_bucket,n,mae,rmse,mape,smape,mean_error
1-7d,4183.0,0.03013631768863894,0.08333072043005231,0.6903828403606671,1.3260598488270712,-0.029729868524646805
8-30d,14489.0,0.030550037135899648,0.07791286240515773,0.6068866509900505,1.1039323883781555,-0.0288738463271424
31-90d,25136.0,0.03706146286909282,0.08030375612597632,0.5608539117572493,0.9499788225401731,-0.0318307093723497
90d+,31055.0,0.05614424964959066,0.09857503128984006,0.5206173055500398,0.8883481428316633,-0.047009309742495946
