moneyness_bucket,n,mae,rmse,mape,smape,mean_error
S/K<=0.90,6835.0,0.01797956974942059,0.03841041564303413,0.770683682311495,0.9205000520642612,-0.005214881341520626
0.90-0.97,12936.0,0.029432435422498824,0.047812516682888176,0.5175765155341399,0.7138059678069748,-0.015632908613831164
0.97-1.03,12493.0,0.03719779841097954,0.05278048658846654,0.4398063338188205,0.5767071798343635,-0.02060962499234876
1.03-1.10,12835.0,0.025152590601569044,0.04071918685535465,0.4991325591047548,0.7186865722375649,-0.011439724805494367
S/K>1.10,31906.0,0.08059003112149715,0.13212812923982478,0.9335828096768938,1.7575394834733131,-0.07819199033486346
