maturity_bucket,n,mae,rmse,mape,smape,mean_error
1-7d,4354.0,0.029771020416285814,0.08187955580107735,0.7797770756510075,1.3892731322266851,-0.028586099085927675
8-30d,14787.0,0.03219894905654735,0.07764944587483222,0.7557486102855198,1.230935657691351,-0.028971453408921426
31-90d,25953.0,0.04138484595904604,0.08194604399365117,0.688452780071554,1.1213783804500648,-0.034008273736495793
90d+,31911.0,0.06839866136999567,0.10623211449768373,0.6647530235572131,1.0866703541610139,-0.053319798535576286
