ts_code,name,call_put,trade_date,exercise_price,days_to_maturity,underlying_close,market_price,rf_rate_decimal,bsm_lower_bound,bsm_upper_bound,moneyness
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-19,3.653,63,3.169,0.46,0.0245555,0.46855008413724564,3.6375500841372457,0.867506159321106
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-20,3.653,62,3.214,0.4201,0.024462667,0.4238521742467469,3.637852174246747,0.8798248015329866
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-25,3.653,57,3.129,0.509,0.0243925,0.51011131673692,3.63911131673692,0.8565562551327676
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-27,3.653,55,3.107,0.5272,0.0243425,0.532625165619105,3.639625165619105,0.8505338078291815
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-28,3.653,54,3.036,0.6019,0.024342,0.6038681760477682,3.6398681760477682,0.8310977278948809
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-02-11,3.653,40,3.123,0.5151,0.023795,0.5204865863048047,3.643486586304805,0.8549137695045169
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-02-17,3.653,34,3.119,0.5259,0.023388,0.5260502070618243,3.6450502070618245,0.853818779085683
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-02-18,3.653,33,3.144,0.497,0.0232685,0.5013231616366647,3.645323161636665,0.8606624692033945
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-03-01,3.653,22,3.105,0.5378,0.02174,0.5432164037234077,3.6482164037234077,0.8499863126197645
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-03-03,3.653,20,3.078,0.5692,0.02109375,0.570780221660169,3.648780221660169,0.8425951272926362
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-03-04,3.653,19,3.046,0.6,0.0209375,0.6030207741757838,3.6490207741757836,0.8338352039419654
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-03-10,3.653,13,2.913,0.73,0.020777143,0.7372977513523993,3.650297751352399,0.7974267725157405
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-03-18,3.653,5,2.891,0.758,0.02046,0.7609763026426464,3.6519763026426464,0.7914043252121544
10003579.SH,华夏上证50ETF期权2203认购2.814,C,2022-02-28,2.814,23,3.061,0.2504,0.02304125,0.25108272247638164,3.061,1.087775408670931
10003668.SH,华夏上证50ETF期权2203认沽3.752,P,2022-01-07,3.752,75,3.207,0.5144,0.024825,0.525909676731418,3.732909676731418,0.8547441364605544
10003668.SH,华夏上证50ETF期权2203认沽3.752,P,2022-01-13,3.752,69,3.166,0.5555,0.0247445,0.568490151881544,3.734490151881544,0.843816631130064
10003668.SH,华夏上证50ETF期权2203认沽3.752,P,2022-01-14,3.752,68,3.12,0.5804,0.024739667,0.6147466960609758,3.734746696060976,0.8315565031982943
